source,window,conn_count,conn_rate,uniq_dst_ports,uniq_dst_hosts,spdp_ratio,meta_ratio,userdata_ratio,mcast_ratio,dst_port_entropy,label,binary,batch
10.10.10.2,0,5,0.625,3,3,0.4,0.6,0.0,0.4,1.522,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,7,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,15,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,22,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,30,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,38,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,45,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,53,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,61,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,68,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,76,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,83,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,91,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,99,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,106,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,114,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,121,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,129,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,137,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,144,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,152,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,159,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,167,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,175,3,0.375,2,2,0.667,0.333,0.0,0.667,0.918,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
