#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2026-04-25-03-29-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	curve	server_name	resumed	last_alert	next_protocol	established	ssl_history	cert_chain_fps	client_cert_chain_fps	sni_matches_cert
#types	time	string	addr	port	addr	port	string	string	string	string	bool	string	string	bool	string	vector[string]	vector[string]	bool
1777058959.081967	CpbuB9Ow4eDXGv46	172.30.123.103	48514	23.210.238.39	443	TLSv13	TLS_AES_256_GCM_SHA384	x25519	-	F	-	-	F	si	-	-	-
1777059054.698453	CLWpUU1phgcXtfTfGg	172.30.123.103	34932	51.104.15.253	443	TLSv13	TLS_AES_256_GCM_SHA384	secp384r1	-	F	-	-	F	ji	-	-	-
1777059215.823051	Cfd3LVWU2gK7e2Fg3	172.30.123.103	53804	20.189.172.32	443	TLSv13	TLS_AES_256_GCM_SHA384	secp384r1	-	F	-	-	F	ji	-	-	-
1777059579.430157	CW5vOwo56PzwInXw9	172.30.123.103	52578	13.107.5.93	443	TLSv13	TLS_AES_256_GCM_SHA384	secp521r1	-	F	-	-	F	ji	-	-	-
1777059215.408269	Citzk92iKZsINyQwvc	172.30.123.103	59602	20.42.72.131	443	TLSv13	TLS_AES_256_GCM_SHA384	secp384r1	-	F	-	-	F	ji	-	-	-
1777059584.754670	CNNmx23xsESUBFrLl6	172.30.123.103	49816	20.189.172.73	443	TLSv13	TLS_AES_256_GCM_SHA384	secp384r1	-	F	-	-	F	ji	-	-	-
1777059713.749777	Cnm6Bw3K8wc0oetfx7	172.30.123.103	49206	13.107.5.93	443	TLSv13	TLS_AES_256_GCM_SHA384	secp521r1	-	F	-	-	F	ji	-	-	-
1777061437.786681	C8jMGSyBDOijFS0K9	172.30.123.103	34390	13.107.5.93	443	TLSv13	TLS_AES_256_GCM_SHA384	secp521r1	-	F	-	-	F	ji	-	-	-
1777061437.735370	CZHpDV3TFhpYetLyM	172.30.123.103	34382	13.107.5.93	443	TLSv13	TLS_AES_256_GCM_SHA384	secp521r1	-	F	-	-	F	ji	-	-	-
1777061571.304750	CQJlvs3z7JzOTJboZ5	172.30.123.103	48240	13.107.5.93	443	TLSv13	TLS_AES_256_GCM_SHA384	secp521r1	-	F	-	-	F	ji	-	-	-
1777062763.607022	CLgvub4qDmDbAPGIXj	172.30.123.103	49456	20.189.172.33	443	TLSv13	TLS_AES_256_GCM_SHA384	secp384r1	-	F	-	-	F	ji	-	-	-
1777062763.221604	Co3YGX1rPLHeJ7lXq2	172.30.123.103	45076	52.168.117.175	443	TLSv13	TLS_AES_256_GCM_SHA384	secp384r1	-	F	-	-	F	ji	-	-	-
1777063291.547994	CImcnTUWQyFSTkhk6	172.30.123.103	48120	13.107.5.93	443	TLSv13	TLS_AES_256_GCM_SHA384	secp521r1	-	F	-	-	F	ji	-	-	-
